x,y
0.18000012293457957,-0.02999988079070981
0.18000012293457957,-0.07999988153576787
0.18000012293457957,-0.12999988228082593
0.18000012293457957,-0.179999883025884
0.18000012293457957,-0.22999988377094205
0.18000012293457957,-0.2799998845160001
0.18000012293457957,-0.32999988526105817
0.18000012293457957,-0.3799998860061162
0.18000012293457957,-0.4299998867511743
0.18000012293457957,-0.47999988749623235
0.18000012293457957,-0.5299998882412904
0.18000012293457957,-0.5799998889863485
0.18000012293457957,-0.6299998897314065
0.18000012293457957,-0.6799998904764646
0.18000012293457957,-0.7299998912215226
0.18000012293457957,-0.7799998919665807
0.18000012293457957,-0.8299998927116388
0.18000012293457957,-0.8799998934566968
0.18000012293457957,-0.9299998942017549
0.18000012293457957,-0.9799998949468129
0.18000012293457957,-1.029999895691871
0.18000012293457957,-1.079999896436929
0.18000012293457957,-1.1299998971819871
0.18000012293457957,-1.1799998979270452
0.18000012293457957,-1.2299998986721032
0.18000012293457957,-1.2799998994171613
0.18000012293457957,-1.3299999001622194
0.1300001221895215,-1.3799999009072774
0.08000012144446345,-1.4299999016523355
0.030000120699405386,-1.4799999023973935
-0.019999880045652674,-1.5299999031424516
-0.06999988079071073,-1.5799999038875097
-0.1199998815357688,-1.6299999046325677
-0.16999988228082685,-1.6799999053776258
-0.2199998830258849,-1.7299999061226838
-0.26999988377094297,-1.779999906867742
-0.31999988451600103,-1.8299999076128
-0.3699998852610591,-1.879999908357858
-0.41999988600611715,-1.929999909102916
-0.4699998867511752,-1.9799999098479741
-0.5199998874962333,-2.029999910593032
-0.5699998882412913,-2.0799999113380903
-0.6199998889863494,-2.0799999113380903
-0.6699998897314074,-2.0799999113380903
-0.7199998904764655,-2.0799999113380903
-0.7699998912215236,-2.1299999120831483
-0.8199998919665816,-2.1799999128282064
-0.8699998927116397,-2.2299999135732644
-0.9199998934566977,-2.2799999143183225
-0.9699998942017558,-2.3299999150633806
-1.0199998949468139,-2.3799999158084386
-1.069999895691872,-2.4299999165534967
-1.11999989643693,-2.4799999172985547
-1.169999897181988,-2.529999918043613
-1.219999897927046,-2.579999918788671
-1.2699998986721042,-2.629999919533729
-1.3199998994171622,-2.629999919533729
-1.3699999001622203,-2.629999919533729
-1.4199999009072783,-2.629999919533729
-1.4699999016523364,-2.629999919533729
-1.5199999023973945,-2.629999919533729
-1.5699999031424525,-2.629999919533729
-1.6199999038875106,-2.629999919533729
-1.6699999046325686,-2.629999919533729
-1.7199999053776267,-2.629999919533729
-1.7699999061226848,-2.629999919533729
-1.8199999068677428,-2.629999919533729
-1.8699999076128009,-2.629999919533729
-1.919999908357859,-2.629999919533729
-1.969999909102917,-2.629999919533729
-2.019999909847975,-2.629999919533729
-2.069999910593033,-2.629999919533729
-2.119999911338091,-2.629999919533729
-2.1699999120831492,-2.629999919533729
-2.2199999128282073,-2.629999919533729
-2.2699999135732654,-2.629999919533729
-2.3199999143183234,-2.629999919533729
-2.3699999150633815,-2.629999919533729
-2.4199999158084395,-2.629999919533729
-2.4699999165534976,-2.629999919533729
-2.5199999172985557,-2.629999919533729
-2.5699999180436137,-2.629999919533729
-2.6199999187886718,-2.629999919533729
-2.66999991953373,-2.629999919533729
-2.719999920278788,-2.629999919533729
-2.769999921023846,-2.629999919533729
-2.819999921768904,-2.629999919533729
-2.869999922513962,-2.629999919533729
-2.91999992325902,-2.629999919533729
-2.969999924004078,-2.629999919533729
-3.0199999247491363,-2.629999919533729
-3.0699999254941943,-2.629999919533729
-3.1199999262392524,-2.629999919533729
-3.1699999269843104,-2.629999919533729
-3.2199999277293685,-2.629999919533729
-3.2699999284744266,-2.629999919533729
-3.3199999292194846,-2.629999919533729
-3.3699999299645427,-2.629999919533729
-3.4199999307096007,-2.629999919533729
-3.469999931454659,-2.629999919533729
-3.519999932199717,-2.629999919533729
-3.569999932944775,-2.629999919533729
-3.619999933689833,-2.629999919533729
-3.669999934434891,-2.629999919533729
-3.719999935179949,-2.629999919533729
-3.769999935925007,-2.629999919533729
-3.819999936670065,-2.629999919533729
-3.8699999374151233,-2.629999919533729
-3.9199999381601813,-2.629999919533729
-3.9699999389052394,-2.629999919533729
-4.0199999396502974,-2.629999919533729
-4.0699999403953555,-2.629999919533729
-4.119999941140414,-2.629999919533729
-4.169999941885472,-2.629999919533729
-4.21999994263053,-2.629999919533729
-4.269999943375588,-2.629999919533729
-4.319999944120646,-2.629999919533729
-4.369999944865704,-2.629999919533729
-4.419999945610762,-2.679999920278787
-4.46999994635582,-2.679999920278787
-4.519999947100878,-2.679999920278787
-4.569999947845936,-2.679999920278787
-4.619999948590994,-2.679999920278787
-4.669999949336052,-2.679999920278787
-4.71999995008111,-2.679999920278787
-4.769999950826168,-2.679999920278787
-4.819999951571226,-2.679999920278787
-4.8699999523162845,-2.679999920278787
-4.9199999530613425,-2.679999920278787
-4.969999953806401,-2.679999920278787
-5.019999954551459,-2.679999920278787
-5.069999955296517,-2.679999920278787
-5.119999956041575,-2.679999920278787
-5.169999956786633,-2.679999920278787
-5.219999957531691,-2.679999920278787
-5.269999958276749,-2.679999920278787
-5.319999959021807,-2.679999920278787
-5.369999959766865,-2.729999921023845
-5.419999960511923,-2.779999921768903
-5.469999961256981,-2.829999922513961
-5.519999962002039,-2.879999923259019
-5.569999962747097,-2.9299999240040773
-5.619999963492155,-2.9799999247491353
-5.669999964237213,-3.0299999254941934
-5.7199999649822715,-3.0799999262392515
-5.7699999657273295,-3.1299999269843095
-5.819999966472388,-3.1799999277293676
-5.869999967217446,-3.2299999284744256
-5.919999967962504,-3.2799999292194837
-5.969999968707562,-3.3299999299645417
-6.01999996945262,-3.3799999307096
-6.069999970197678,-3.429999931454658
-6.119999970942736,-3.479999932199716
-6.169999971687794,-3.529999932944774
-6.219999972432852,-3.579999933689832
-6.26999997317791,-3.62999993443489
